Time,No,Operator,Machine,Sample,Concentration,Solvent,Temperature,TDS,Conductivity
2023-10-05T08:52:34+00:00,2,2,1,5.21,10,100,27.62,122.46,191.35
2023-10-05T08:52:49+00:00,3,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:53:05+00:00,4,2,1,5.21,10,100,28.94,121.14,189.28
2023-10-05T08:53:20+00:00,5,2,1,5.21,10,100,28.94,119.48,186.69
2023-10-05T08:53:36+00:00,6,2,1,5.21,10,100,28.87,121.28,189.5
2023-10-05T08:53:51+00:00,7,2,1,5.21,10,100,28.87,119.62,186.91
2023-10-05T08:54:07+00:00,8,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:54:23+00:00,9,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:54:38+00:00,10,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:54:54+00:00,11,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:55:09+00:00,12,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:55:25+00:00,13,2,1,5.21,10,100,28.69,120.04,187.56
2023-10-05T08:55:43+00:00,14,2,1,5.21,10,100,28.69,120.04,187.56
2023-10-05T08:56:04+00:00,15,2,1,5.21,10,100,28.62,120.18,187.78
2023-10-05T08:56:28+00:00,16,2,1,5.21,10,100,28.62,120.18,187.78
2023-10-05T08:56:45+00:00,17,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:06+00:00,18,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:26+00:00,19,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:47+00:00,20,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:58:08+00:00,21,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:58:28+00:00,22,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:58:49+00:00,23,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:59:10+00:00,24,2,1,5.21,10,100,28.44,120.6,188.44
2023-10-05T08:59:30+00:00,25,2,1,5.21,10,100,28.44,120.6,188.44
2023-10-05T08:59:51+00:00,26,2,1,5.21,10,100,28.37,120.74,188.66
2023-10-05T09:00:11+00:00,27,2,1,5.21,10,100,28.37,120.74,188.66
2023-10-05T09:00:32+00:00,28,2,1,5.21,10,100,28.37,120.74,188.66
2023-10-05T09:00:53+00:00,29,2,1,5.21,10,100,28.37,120.74,188.66
2023-10-05T09:01:13+00:00,30,2,1,5.21,10,100,28.31,120.88,188.88
2023-10-05T09:01:34+00:00,31,2,1,5.21,10,100,28.31,119.2,186.25
2023-10-05T09:01:55+00:00,32,2,1,5.21,10,100,28.25,121.02,189.1
2023-10-05T09:05:36+00:00,35,2,1,5.21,20,100,28,143.32,223.93
2023-10-05T09:05:56+00:00,36,2,1,5.21,20,100,28,143.32,223.93
2023-10-05T09:06:17+00:00,37,2,1,5.21,20,100,27.94,143.48,224.2
2023-10-05T09:06:38+00:00,38,2,1,5.21,20,100,27.87,143.65,224.46
2023-10-05T09:06:58+00:00,39,2,1,5.21,20,100,27.87,143.65,224.46
2023-10-05T09:07:19+00:00,40,2,1,5.21,20,100,27.87,143.65,224.46
2023-10-05T09:07:40+00:00,41,2,1,5.21,20,100,27.87,143.65,224.46
2023-10-05T09:08:00+00:00,42,2,1,5.21,20,100,27.81,143.82,224.73
2023-10-05T09:08:21+00:00,43,2,1,5.21,20,100,27.81,143.82,224.73
2023-10-05T09:08:42+00:00,44,2,1,5.21,20,100,27.81,143.82,224.73
2023-10-05T09:09:02+00:00,45,2,1,5.21,20,100,27.81,143.82,224.73
2023-10-05T09:09:23+00:00,46,2,1,5.21,20,100,27.75,143.99,224.99
2023-10-05T09:09:43+00:00,47,2,1,5.21,20,100,27.75,143.99,224.99
2023-10-05T09:10:04+00:00,48,2,1,5.21,20,100,27.75,143.99,224.99
2023-10-05T09:10:25+00:00,49,2,1,5.21,20,100,27.75,143.99,224.99
2023-10-05T09:10:45+00:00,50,2,1,5.21,20,100,27.69,144.17,225.26
2023-10-05T09:11:06+00:00,51,2,1,5.21,20,100,27.69,144.17,225.26
2023-10-05T09:11:27+00:00,52,2,1,5.21,20,100,27.62,144.34,225.53
2023-10-05T09:11:47+00:00,53,2,1,5.21,20,100,27.62,144.34,225.53
2023-10-05T09:12:08+00:00,54,2,1,5.21,20,100,27.69,144.17,225.26
2023-10-05T09:12:29+00:00,55,2,1,5.21,20,100,27.62,144.34,225.53
2023-10-05T09:14:18+00:00,56,2,1,5.21,20,100,26.87,202.89,317.01
2023-10-05T09:15:12+00:00,58,2,1,5.21,30,100,27.44,199.09,311.08
2023-10-05T09:15:28+00:00,59,2,1,5.21,30,100,27.44,199.09,311.08
2023-10-05T09:15:48+00:00,60,2,1,5.21,30,100,27.44,199.09,311.08
2023-10-05T09:16:09+00:00,61,2,1,5.21,30,100,27.37,199.33,311.45
2023-10-05T09:17:07+00:00,62,2,1,5.21,30,100,26,204.7,319.85
2023-10-05T09:17:23+00:00,63,2,1,5.21,30,100,27.19,200.04,312.57
2023-10-05T09:17:43+00:00,64,2,1,5.21,30,100,27.31,199.56,311.82
2023-10-05T09:18:04+00:00,65,2,1,5.21,30,100,27.31,199.56,311.82
2023-10-05T09:18:24+00:00,66,2,1,5.21,30,100,27.31,199.56,311.82
2023-10-05T09:18:45+00:00,67,2,1,5.21,30,100,27.31,197.94,309.28
2023-10-05T09:19:06+00:00,68,2,1,5.21,30,100,27.31,197.94,309.28
2023-10-05T09:19:26+00:00,69,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:19:47+00:00,70,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:20:08+00:00,71,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:20:28+00:00,72,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:20:49+00:00,73,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:21:30+00:00,74,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:21:51+00:00,75,2,1,5.21,30,100,27.25,198.18,309.65
2023-10-05T09:24:22+00:00,77,2,1,5.21,40,100,27.06,228.22,356.6
2023-10-05T09:24:43+00:00,78,2,1,5.21,40,100,27.06,229.85,359.14
2023-10-05T09:24:58+00:00,79,2,1,5.21,40,100,27.06,228.22,356.6
2023-10-05T09:25:19+00:00,80,2,1,5.21,40,100,27.06,228.22,356.6
2023-10-05T09:25:39+00:00,81,2,1,5.21,40,100,27.06,228.22,356.6
2023-10-05T09:26:00+00:00,82,2,1,5.21,40,100,27.06,228.22,356.6
2023-10-05T09:26:21+00:00,83,2,1,5.21,40,100,27,228.5,357.03
2023-10-05T09:26:41+00:00,84,2,1,5.21,40,100,27,228.5,357.03
2023-10-05T09:27:02+00:00,85,2,1,5.21,40,100,27,230.13,359.57
2023-10-05T09:27:23+00:00,86,2,1,5.21,40,100,27,228.5,357.03
2023-10-05T09:27:43+00:00,87,2,1,5.21,40,100,27,228.5,357.03
2023-10-05T09:28:04+00:00,88,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:28:24+00:00,89,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:28:45+00:00,90,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:29:06+00:00,91,2,1,5.21,40,100,26.87,229.05,357.89
2023-10-05T09:29:26+00:00,92,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:29:47+00:00,93,2,1,5.21,40,100,26.87,229.05,357.89
2023-10-05T09:30:08+00:00,94,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:30:28+00:00,95,2,1,5.21,40,100,26.94,228.77,357.46
2023-10-05T09:33:35+00:00,97,2,1,5.21,50,100,26.75,305.57,477.46
2023-10-05T09:33:55+00:00,98,2,1,5.21,50,100,26.75,305.57,477.46
2023-10-05T09:34:16+00:00,99,2,1,5.21,50,100,26.75,303.89,474.83
2023-10-05T09:34:36+00:00,100,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:34:57+00:00,101,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:35:18+00:00,102,2,1,5.21,50,100,26.62,306.31,478.62
2023-10-05T09:35:38+00:00,103,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:35:59+00:00,104,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:36:20+00:00,105,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:36:40+00:00,106,2,1,5.21,50,100,26.69,304.26,475.41
2023-10-05T09:37:01+00:00,107,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:37:22+00:00,108,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:37:42+00:00,109,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:38:03+00:00,110,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:38:24+00:00,111,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:38:44+00:00,112,2,1,5.21,50,100,26.56,305,476.56
2023-10-05T09:39:05+00:00,113,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:39:26+00:00,114,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:39:46+00:00,115,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:40:07+00:00,116,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:40:27+00:00,117,2,1,5.21,50,100,26.62,304.63,475.98
2023-10-05T09:43:48+00:00,119,2,1,5.21,60,100,26.62,356.26,556.66
2023-10-05T09:44:04+00:00,120,2,1,5.21,60,100,26.62,356.26,556.66
2023-10-05T09:44:24+00:00,121,2,1,5.21,60,100,26.62,354.5,553.9
2023-10-05T09:44:45+00:00,122,2,1,5.21,60,100,26.62,354.5,553.9
2023-10-05T09:45:05+00:00,123,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:45:26+00:00,124,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:45:47+00:00,125,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:46:07+00:00,126,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:46:28+00:00,127,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:46:48+00:00,128,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:47:09+00:00,129,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:47:30+00:00,130,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:47:50+00:00,131,2,1,5.21,60,100,26.56,354.93,554.57
2023-10-05T09:48:14+00:00,132,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:48:32+00:00,133,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:48:52+00:00,134,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:49:13+00:00,135,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:49:34+00:00,136,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:49:54+00:00,137,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:50:15+00:00,138,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:50:36+00:00,139,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:50:56+00:00,140,2,1,5.21,60,100,26.5,355.36,555.25
2023-10-05T09:54:02+00:00,142,2,1,5.21,70,100,26.37,392.34,613.03
2023-10-05T09:54:18+00:00,143,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:54:38+00:00,144,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:54:59+00:00,145,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:55:20+00:00,146,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:55:40+00:00,147,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:56:01+00:00,148,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:56:22+00:00,149,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:56:42+00:00,150,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:57:03+00:00,151,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:57:23+00:00,152,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:57:44+00:00,153,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:58:05+00:00,154,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:58:25+00:00,155,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:58:46+00:00,156,2,1,5.21,70,100,26.37,390.5,610.15
2023-10-05T09:59:07+00:00,157,2,1,5.21,70,100,26.31,390.97,610.9
2023-10-05T09:59:27+00:00,158,2,1,5.21,70,100,26.31,390.97,610.9
2023-10-05T09:59:48+00:00,159,2,1,5.21,70,100,26.31,390.97,610.9
2023-10-05T10:00:09+00:00,160,2,1,5.21,70,100,26.31,390.97,610.9
2023-10-05T10:00:29+00:00,161,2,1,5.21,70,100,26.31,390.97,610.9
2023-10-05T10:00:50+00:00,162,2,1,5.21,70,100,26.31,390.97,610.9
