Time,No,Operator,Machine,Sample,Concentration,Solvent,Temperature,TDS,Conductivity
2023-08-19T20:50:45+05:30,1,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:51:01+05:30,2,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:51:21+05:30,3,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:51:41+05:30,4,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:52:02+05:30,5,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:52:23+05:30,6,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:52:43+05:30,7,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:53:05+05:30,8,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:53:24+05:30,9,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:53:45+05:30,10,1,2,0.1,0,100,28.5,36.19,56.55
2023-08-19T20:54:06+05:30,11,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:54:26+05:30,12,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:54:47+05:30,13,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:55:07+05:30,14,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:55:28+05:30,15,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:55:49+05:30,16,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:56:09+05:30,17,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:56:30+05:30,18,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:56:51+05:30,19,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:57:11+05:30,20,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:57:32+05:30,21,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:57:53+05:30,22,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:58:13+05:30,23,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:58:34+05:30,24,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:58:54+05:30,25,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:59:15+05:30,26,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:59:36+05:30,27,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T20:59:56+05:30,28,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:00:17+05:30,29,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:00:39+05:30,30,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:00:58+05:30,31,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:01:19+05:30,32,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:01:39+05:30,33,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:02:00+05:30,34,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:02:21+05:30,35,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:02:41+05:30,36,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:03:02+05:30,37,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:03:23+05:30,38,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:03:43+05:30,39,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:04:04+05:30,40,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:04:25+05:30,41,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:04:45+05:30,42,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:05:06+05:30,43,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:05:26+05:30,44,1,2,0.1,0,100,28.44,36.23,56.61
2023-08-19T21:05:48+05:30,45,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:06:08+05:30,46,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:06:28+05:30,47,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:06:49+05:30,48,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:07:10+05:30,49,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:07:30+05:30,50,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:07:51+05:30,51,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:08:11+05:30,52,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:08:32+05:30,53,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:08:53+05:30,54,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:09:13+05:30,55,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:09:34+05:30,56,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:09:55+05:30,57,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:10:15+05:30,58,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:10:36+05:30,59,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:10:56+05:30,60,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:11:17+05:30,61,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:11:38+05:30,62,1,2,0.1,0,100,28.37,36.28,56.68
2023-08-19T21:11:58+05:30,63,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:12:19+05:30,64,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:12:40+05:30,65,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:13:00+05:30,66,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:13:21+05:30,67,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:13:41+05:30,68,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:14:02+05:30,69,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:14:23+05:30,70,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:14:43+05:30,71,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:15:04+05:30,72,1,2,0.1,0,100,28.31,36.32,56.75
2023-08-19T21:15:25+05:30,73,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:15:45+05:30,74,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:16:06+05:30,75,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:16:27+05:30,76,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:16:47+05:30,77,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:17:08+05:30,78,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:17:28+05:30,79,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:17:49+05:30,80,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:18:10+05:30,81,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:18:30+05:30,82,1,2,0.1,0,100,28.25,36.36,56.81
2023-08-19T21:18:51+05:30,83,1,2,0.1,0,100,28.25,36.36,56.81
