Time,No,Operator,Machine,Sample,Concentration,Solvent,Temperature,TDS,Conductivity
2023-10-05T08:52:34+00:00,1,2,1,5.21,10,100,27.62,122.46,191.35
2023-10-05T08:52:49+00:00,2,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:53:05+00:00,3,2,1,5.21,10,100,28.94,121.14,189.28
2023-10-05T08:53:20+00:00,4,2,1,5.21,10,100,28.94,119.48,186.69
2023-10-05T08:53:36+00:00,5,2,1,5.21,10,100,28.87,121.28,189.5
2023-10-05T08:53:51+00:00,6,2,1,5.21,10,100,28.87,119.62,186.91
2023-10-05T08:54:07+00:00,7,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:54:23+00:00,8,2,1,5.21,10,100,28.81,119.76,187.12
2023-10-05T08:54:38+00:00,9,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:54:54+00:00,10,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:55:09+00:00,11,2,1,5.21,10,100,28.75,119.9,187.34
2023-10-05T08:55:25+00:00,12,2,1,5.21,10,100,28.69,120.04,187.56
2023-10-05T08:55:43+00:00,13,2,1,5.21,10,100,28.69,120.04,187.56
2023-10-05T08:56:04+00:00,14,2,1,5.21,10,100,28.62,120.18,187.78
2023-10-05T08:56:28+00:00,15,2,1,5.21,10,100,28.62,120.18,187.78
2023-10-05T08:56:45+00:00,16,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:06+00:00,17,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:26+00:00,18,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:57:47+00:00,19,2,1,5.21,10,100,28.56,120.32,188
2023-10-05T08:58:08+00:00,20,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:58:28+00:00,21,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:58:49+00:00,22,2,1,5.21,10,100,28.5,120.46,188.22
2023-10-05T08:59:10+00:00,23,2,1,5.21,10,100,28.44,120.6,188.44
2023-10-05T08:59:30+00:00,24,2,1,5.21,10,100,28.44,120.6,188.44
